Бегать мотоцикл,2022-01-23,20:14:00,715,514,False,2022-01-17 22:40:00,2022-01-21 14:14:00,4,29,1342,False
Дальний выбирать,2022-01-22,19:52:00,525,247,False,2022-01-10 18:10:00,2022-01-18 08:18:00,4,585,720,False
Важный результат казнь,2022-03-20,21:04:00,520,316,False,2022-03-19 10:43:00,2022-03-20 17:53:00,4,202,790,False
Слишком аллея,2021-01-10,10:39:00,495,218,True,2021-01-05 20:09:00,2021-01-10 08:26:00,4,884,762,False
Кожа,2022-09-07,21:24:00,235,315,False,2022-08-20 13:55:00,2022-08-31 21:11:00,4,402,1287,False
Ныне невозможно,2021-01-21,07:50:00,30,449,False,2021-01-18 05:02:00,2021-01-18 19:09:00,4,141,1254,False
Приятель славный,2021-12-20,07:53:00,495,862,True,2021-12-01 04:04:00,2021-12-13 15:23:00,5,538,975,False
Господь район,2021-01-29,11:38:00,175,459,True,2021-01-27 07:12:00,2021-01-28 22:58:00,4,616,29,False
Вряд встать,2021-10-14,17:37:00,685,982,True,2021-09-28 03:11:00,2021-10-02 11:37:00,5,130,1444,False
Выкинуть собеседник помолчать,2022-02-11,00:57:00,170,686,True,2022-01-18 16:34:00,2022-01-22 06:51:00,4,220,865,False
Возникновение новый покидать природа,2021-03-03,00:00:00,195,324,False,2021-03-01 03:48:00,2021-03-02 14:43:00,4,601,1017,False
Спорт сынок пространство,2022-06-23,01:37:00,485,990,True,2022-06-16 05:35:00,2022-06-19 15:33:00,4,953,714,False
При цвет куча,2022-06-28,19:22:00,500,689,False,2022-06-21 13:33:00,2022-06-28 07:00:00,4,85,747,False
Лиловый потом,2022-08-24,03:44:00,285,717,False,2022-08-06 16:25:00,2022-08-18 07:49:00,4,919,1625,False
Упор валюта домашний,2022-05-12,01:46:00,510,906,True,2022-05-01 18:11:00,2022-05-02 20:47:00,4,31,340,False
Правильный расстройство,2021-05-27,17:59:00,170,83,True,2021-04-28 22:20:00,2021-05-09 22:53:00,4,727,1302,False
Устройство,2021-06-26,05:54:00,590,936,True,2021-06-12 15:44:00,2021-06-18 16:30:00,4,64,517,False
Умирать избегать,2021-12-18,02:42:00,105,697,False,2021-11-22 16:39:00,2021-12-14 20:45:00,4,442,1230,False
Через следовательно равнодушный,2022-02-24,06:11:00,645,211,True,2022-02-13 14:32:00,2022-02-22 00:47:00,4,700,724,False
Процесс,2021-04-10,09:24:00,360,306,False,2021-04-04 10:47:00,2021-04-07 17:56:00,4,324,1023,False
