Вскакивать адвокат сверкать,2021-08-07,23:29:00,655,803,False,2021-08-04 10:28:00,2021-08-06 20:06:00,4,145,124,False
Научить зима бетонный,2022-07-15,06:28:00,80,599,True,2022-06-15 22:43:00,2022-07-08 20:04:00,4,463,1140,False
Девка устройство,2022-08-12,08:58:00,100,20,True,2022-08-03 05:02:00,2022-08-04 18:32:00,4,782,1554,False
Очередной падать,2022-01-21,01:20:00,145,875,False,2022-01-13 08:16:00,2022-01-20 02:05:00,4,778,260,False
Миллиард передо грудь,2022-05-23,01:00:00,75,468,True,2022-04-28 05:26:00,2022-05-16 00:43:00,4,626,1692,False
Витрина сынок,2022-09-04,21:24:00,305,826,True,2022-08-28 00:35:00,2022-09-01 22:02:00,4,586,865,False
Правление возбуждение плод салон,2021-09-28,15:52:00,155,161,True,2021-09-26 18:41:00,2021-09-28 02:27:00,4,307,1503,False
Механический,2021-07-09,01:34:00,525,161,False,2021-06-14 22:19:00,2021-06-30 22:01:00,4,707,458,False
Некоторый рис,2022-06-02,08:21:00,305,897,True,2022-05-09 18:39:00,2022-05-21 12:48:00,5,734,251,False
Художественный товар бабочка,2021-07-16,21:18:00,50,343,True,2021-06-19 07:48:00,2021-07-02 07:47:00,4,576,1050,False
Плод угроза,2022-08-16,11:14:00,285,321,True,2022-07-26 02:08:00,2022-07-29 05:34:00,4,186,890,False
Пятеро райком ученый чувство,2022-06-13,15:29:00,25,521,True,2022-06-09 15:35:00,2022-06-12 02:51:00,4,753,1649,False
Очутиться пространство космос,2021-12-17,07:07:00,505,954,True,2021-12-01 01:52:00,2021-12-07 07:49:00,4,172,184,False
Основание приходить,2021-03-31,22:45:00,270,590,True,2021-03-21 04:03:00,2021-03-25 02:15:00,4,891,331,False
Нажать основание,2022-02-16,23:08:00,145,231,True,2022-01-26 01:58:00,2022-02-08 17:22:00,4,514,214,False
Витрина применяться функция мелькнуть,2022-06-01,18:45:00,210,129,False,2022-05-10 12:13:00,2022-05-17 04:21:00,4,520,1898,False
Тесно выдержать нервно,2022-05-19,07:06:00,595,751,True,2022-04-27 06:09:00,2022-04-30 09:33:00,4,745,1549,False
Монета падать,2021-01-13,18:28:00,100,654,True,2021-01-10 10:45:00,2021-01-10 18:33:00,4,621,1231,False
Рай соответствие основание,2021-08-13,02:07:00,195,577,True,2021-07-21 23:03:00,2021-07-26 00:07:00,4,928,56,False
Ребятишки лететь,2022-09-12,13:37:00,330,336,False,2022-08-26 08:56:00,2022-08-26 21:42:00,4,366,640,False
Ягода,2021-07-19,00:26:00,15,275,True,2021-06-27 18:24:00,2021-07-11 03:56:00,4,542,915,False
Недостаток факультет социалистический порог,2021-12-24,19:13:00,680,489,True,2021-12-24 17:02:00,2021-12-24 18:01:00,4,449,1211,False
Научить плавно танцевать,2022-04-22,02:03:00,545,613,True,2022-04-15 05:17:00,2022-04-17 00:06:00,4,349,874,False
Радость цвет табак,2021-06-10,22:57:00,100,12,True,2021-06-03 18:16:00,2021-06-05 19:57:00,4,906,1208,False
Пламя висеть холодно,2021-09-05,01:19:00,265,683,True,2021-08-29 15:02:00,2021-09-03 18:13:00,4,514,1362,False
Свежий мелькнуть,2022-09-15,08:45:00,385,323,True,2022-09-01 00:04:00,2022-09-03 09:21:00,2,121,1869,False
Выражаться затянуться юный,2021-04-12,16:41:00,675,196,False,2021-03-26 21:50:00,2021-03-28 21:03:00,5,934,242,False
Потом хлеб,2021-07-01,18:48:00,510,440,True,2021-06-28 07:49:00,2021-06-30 12:07:00,4,322,1153,False
Слишком поставить подземный,2022-01-05,11:29:00,720,990,True,2021-12-21 01:14:00,2021-12-23 09:44:00,5,332,11,False
Ответить протягивать смеяться,2022-02-21,08:39:00,425,491,False,2022-02-11 12:02:00,2022-02-18 19:13:00,4,158,141,False
Решение покинуть,2021-02-17,11:44:00,320,671,True,2021-01-26 19:13:00,2021-02-04 22:26:00,4,903,1915,False
Задрать единый миф,2021-03-04,03:55:00,380,984,False,2021-02-11 02:46:00,2021-03-02 12:53:00,4,404,1306,False
Кольцо житель,2022-02-23,17:17:00,360,141,False,2022-02-21 17:17:00,2022-02-22 11:46:00,4,764,338,False
Госпожа результат идея,2022-02-18,05:13:00,560,583,False,2022-01-27 06:05:00,2022-02-18 01:47:00,4,41,567,False
Кожа парень парень что,2022-07-29,18:47:00,30,84,False,2022-07-10 00:29:00,2022-07-15 22:53:00,4,78,1986,False
Решетка господь смертельный,2021-07-28,20:51:00,270,505,False,2021-07-16 23:33:00,2021-07-18 13:55:00,4,746,1057,False
Кузнец покинуть правление,2021-12-01,01:43:00,500,625,True,2021-11-18 12:08:00,2021-11-20 19:05:00,4,226,1172,False
Парень угроза руководитель,2022-05-08,22:42:00,515,978,True,2022-04-09 07:59:00,2022-04-16 01:54:00,4,929,308,False
Беспомощный один,2021-05-01,04:09:00,435,142,True,2021-04-23 21:54:00,2021-04-30 03:13:00,4,696,1835,False
Обида другой одиннадцать обида,2022-03-03,20:51:00,380,424,False,2022-02-19 23:35:00,2022-02-22 11:08:00,4,341,485,False
Боец скрытый,2021-08-14,23:23:00,405,652,True,2021-07-25 18:04:00,2021-08-12 00:25:00,4,811,965,False
Пропадать выразить,2021-02-19,10:02:00,45,969,True,2021-01-29 05:33:00,2021-02-14 21:35:00,4,906,6,False
Дружно лететь бригада,2021-07-04,15:45:00,355,660,False,2021-06-17 07:06:00,2021-06-22 04:53:00,4,181,812,False
Бетонный танцевать падаль,2022-03-01,14:04:00,290,976,False,2022-02-13 11:39:00,2022-02-19 15:34:00,4,795,1577,False
Конференция материя домашний,2022-04-01,17:51:00,330,533,False,2022-03-15 21:06:00,2022-03-24 19:25:00,4,458,1416,False
Сбросить плод,2022-04-23,04:00:00,435,354,True,2022-04-03 11:19:00,2022-04-07 16:05:00,5,999,1135,False
Художественный палка,2022-02-24,19:10:00,525,576,False,2022-02-02 17:22:00,2022-02-22 22:48:00,4,963,1862,False
Мелькнуть приятель потрясти,2022-01-05,23:43:00,510,476,True,2021-12-26 10:32:00,2022-01-05 06:58:00,4,699,1085,False
Ход домашний ботинок,2022-09-24,20:14:00,295,397,True,2022-09-21 08:47:00,2022-09-23 02:10:00,0,167,1782,False
Очко,2021-04-13,17:00:00,430,712,False,2021-04-03 08:46:00,2021-04-08 04:19:00,4,758,172,False
Угодный угроза карман горький,2021-08-21,00:27:00,460,250,True,2021-08-19 13:23:00,2021-08-20 03:27:00,4,438,835,False
Задрать угроза зачем,2022-04-23,05:38:00,60,823,True,2022-04-10 14:07:00,2022-04-11 14:56:00,4,203,1026,False
Исполнять мимо наслаждение,2022-09-30,13:14:00,645,243,False,2022-09-21 04:16:00,2022-09-26 05:32:00,0,164,494,False
Карандаш опасность,2022-05-08,00:02:00,20,921,True,2022-05-02 00:51:00,2022-05-04 06:07:00,4,736,1642,False
Достоинство спичка,2021-03-30,02:19:00,215,247,True,2021-03-12 00:03:00,2021-03-22 06:16:00,4,662,395,False
Некоторый спорт,2022-09-18,19:55:00,100,226,True,2022-08-24 02:09:00,2022-09-04 07:10:00,2,607,297,False
Соответствие печатать,2021-04-26,01:51:00,605,400,False,2021-03-29 11:36:00,2021-04-25 05:31:00,4,844,1716,False
Дурацкий смеяться вздрагивать,2021-11-02,05:49:00,400,188,False,2021-10-21 17:34:00,2021-10-26 08:54:00,4,559,1712,False
Место смелый страсть командир,2022-02-25,12:48:00,575,643,False,2022-02-15 13:29:00,2022-02-20 08:59:00,4,846,353,False
Обида поколение,2022-05-19,01:13:00,625,863,True,2022-04-27 22:59:00,2022-04-30 05:30:00,4,504,123,False
Избегать выбирать штаб,2021-07-03,12:40:00,180,990,True,2021-07-02 22:15:00,2021-07-02 22:25:00,4,353,465,False
Успокоиться увеличиваться,2022-09-20,14:58:00,190,127,False,2022-08-27 00:34:00,2022-09-13 12:58:00,1,221,1167,False
За выраженный,2022-06-24,18:02:00,415,174,True,2022-05-31 16:09:00,2022-06-22 23:58:00,4,433,19,False
Роскошный,2022-07-02,06:31:00,440,556,False,2022-06-14 20:53:00,2022-07-01 11:58:00,4,363,774,False
Коробка отражение выбирать,2022-01-02,10:18:00,185,570,True,2021-12-20 13:53:00,2021-12-22 06:41:00,4,107,1995,False
Банда дурацкий,2021-08-14,04:33:00,135,735,False,2021-08-08 23:08:00,2021-08-12 23:18:00,4,97,841,False
Теория мимо,2022-05-10,10:35:00,195,984,False,2022-04-12 00:01:00,2022-04-18 18:11:00,4,722,474,False
Увеличиваться промолчать находить ремень,2021-08-23,15:09:00,565,129,True,2021-08-08 00:27:00,2021-08-13 15:06:00,4,946,978,False
Сутки художественный реклама,2021-11-06,06:47:00,205,625,False,2021-10-08 04:12:00,2021-10-30 17:18:00,4,670,1882,False
