Труп экзамен,2021-05-16,12:57:00,530,272,True,2021-04-21 06:02:00,2021-05-13 16:58:00,6,255,1667,False
Монета лететь степь кожа,2022-06-03,14:07:00,690,290,True,2022-05-12 01:14:00,2022-05-30 00:59:00,5,657,163,False
Посвятить,2021-10-19,13:06:00,370,451,False,2021-10-14 00:55:00,2021-10-18 04:44:00,5,593,563,False
Вздрагивать полностью монета,2021-04-28,19:02:00,645,448,True,2021-04-05 15:37:00,2021-04-08 21:40:00,5,776,54,False
Механический ученый,2022-03-15,19:47:00,475,503,False,2022-03-12 12:11:00,2022-03-15 03:53:00,5,948,699,False
Тысяча миллиард через,2021-10-29,04:00:00,275,730,False,2021-10-04 08:08:00,2021-10-08 01:44:00,5,444,1945,False
Дошлый место,2021-05-12,02:36:00,60,62,False,2021-04-30 16:39:00,2021-05-04 09:29:00,5,588,1237,False
Тесно новый что,2021-11-26,20:55:00,690,771,False,2021-11-25 11:29:00,2021-11-26 15:52:00,5,17,857,False
Терапия сравнение,2022-07-24,00:21:00,35,940,True,2022-07-09 02:19:00,2022-07-15 09:19:00,5,972,1342,False
Равнодушный чувство,2021-04-27,02:56:00,220,71,False,2021-04-21 07:52:00,2021-04-24 09:15:00,5,394,54,False
Ленинград,2022-03-24,06:36:00,720,120,False,2022-03-23 12:30:00,2022-03-23 13:42:00,5,635,1882,False
Процесс советовать,2021-10-31,14:28:00,705,606,False,2021-10-03 10:40:00,2021-10-16 17:43:00,6,190,296,False
Домашний число некоторый,2022-03-01,11:21:00,410,752,True,2022-02-17 12:24:00,2022-02-19 15:42:00,5,722,356,False
Кольцо написать,2022-07-08,15:50:00,670,124,False,2022-07-07 01:21:00,2022-07-07 05:07:00,5,784,117,False
Рис спалить счастье,2022-07-29,01:58:00,145,57,True,2022-07-11 17:41:00,2022-07-15 15:26:00,5,400,1432,False
Вытаскивать оборот проход,2022-02-19,00:44:00,245,1000,False,2022-02-14 16:18:00,2022-02-18 12:20:00,5,930,1709,False
Трубка,2021-11-03,12:35:00,490,918,False,2021-10-21 03:19:00,2021-10-26 11:21:00,5,255,1895,False
Применяться степь,2022-06-10,13:24:00,470,43,True,2022-05-30 13:39:00,2022-06-09 07:52:00,5,738,1461,False
Интеллектуальный ответить полевой,2021-02-04,20:25:00,100,643,False,2021-01-24 01:26:00,2021-01-27 05:22:00,5,739,195,False
Эпоха бетонный мрачно кпсс,2021-02-09,15:50:00,35,992,True,2021-01-28 06:39:00,2021-02-03 06:52:00,5,639,97,False
Оставить основание потом сверкающий,2021-05-01,04:58:00,470,816,False,2021-04-29 19:49:00,2021-04-30 22:20:00,5,932,1371,False
