Дьявол багровый,другое,"Южно-Сахалинск, пр. Дружбы, д. 9 к. 7",borislavdjachkov@rao.biz,https://zao.info/,+78781858401,False
Песенка,ресторан,"Рославль, алл. Макаренко, д. 8",ladimirkoshelev@zao.com,http://www.ip.net/,+79791480247,False
Носок,другое,"Вязьма, алл. Автомобилистов, д. 62 к. 9/2",pelageja_2004@ao.biz,http://www.ao.info/,+74265530394,False
Казнь банда,магазин,"Гатчина, пер. Севастопольский, д. 1",panfilovaolga@kulagin.com,https://www.oao.edu/,+79153395335,False
Приличный,другое,"Радужный, ул. Карла Либкнехта, д. 7/3",filimonrozhkov@zao.org,http://www.zao.net/,+73493181645,False
Основание,фастфуд,"Тарко-Сале, пр. Астраханский, д. 8/5 к. 78",iraida_58@ao.ru,http://www.oao.biz/,+79341398158,False
Посидеть,магазин,"Уварово, алл. Калужская, д. 47 к. 42",milovan_1977@rao.net,https://www.rao.org/,+77172872449,False
Даль,кафе,"Обнинск, пр. Тенистый, д. 9 к. 147",lavrenti_87@ao.org,https://oao.ru/,+77479249454,False
Миг невозможно,кафе,"Рославль, наб. 50 лет Октября, д. 8/1 стр. 2",wsuhanova@potapova.edu,https://www.safonov.info/,+77782814447,False
Пропаганда разнообразный,магазин,"Ельня, ул. Алтайская, д. 671 стр. 38",martinovaglafira@ooo.net,http://ip.org/,+74866128191,False
Функция вскинуть,кафе,"Чокурдах, пер. Советов, д. 70",lobanovaelena@gruppa.org,http://lobanov.edu/,+77145210132,False
Собеседник,фастфуд,"Ростов-на-Дону, пр. Радищева, д. 5/1 стр. 45",orestbeljakov@glenkor.info,https://www.npo.net/,+77624909559,False
Забирать уронить,студия,"Каменск-Уральский, алл. Заозерная, д. 14",oksana_2019@rao.com,https://artis-agro.ru/,+77275995239,False
Премьера роскошный,другое,"Онега, ш. Ветеранов, д. 3 к. 6/3",ippolit07@zao.info,https://ao.info/,+77625867655,False
Построить что,кафе,"Уварово, алл. Московская, д. 1/2 к. 1/6",komissarovevse@zao.ru,http://tatenergo.net/,+77781193297,False
Вздрагивать сынок,кафе,"Онега, ш. Белинского, д. 808 стр. 1/6",zuevbazhen@ooo.org,http://ip.edu/,+77103340925,False
Пространство результат,ресторан,"Нижневартовск, пер. Тимирязева, д. 25 стр. 7",gerasimovpanfil@npo.com,https://www.savin.ru/,+77710350634,False
Достоинство миг,антикафе,"Шатура, ш. Целинное, д. 3/7",iuvarova@ao.net,http://www.alekseeva.com/,+79940901547,False
При,кафе,"Слюдянка, наб. Полтавская, д. 979",igor_81@makarov.edu,https://zao.org/,+77064584496,False
Поговорить грустный,фастфуд,"Новосибирск, пр. Ермака, д. 3 стр. 199",denis13@ao.ru,https://zao.info/,+78099121552,False
Возмутиться,фастфуд,"Тайшет, бул. Сплавный, д. 20 стр. 8",sitnikovkliment@general.com,https://www.npo.net/,+73476787216,False
Растеряться металл,фастфуд,"Челюскин, ш. Титова, д. 53",fominkuprijan@oao.biz,https://www.tarasova.net/,+77777389361,False
За,антикафе,"Тулпан, пр. Просторный, д. 839 к. 6/3",efrem_86@zao.org,http://npo.edu/,+77756932855,False
Совещание,кафе,"Серов, ш. Набережное, д. 775 стр. 972",grigorevmstislav@ip.ru,https://zao.biz/,+79966282260,False
Написать тута,студия,"Тимашевск, наб. Коммунистическая, д. 2/6 стр. 3",militsa59@metafraks.edu,http://www.ooo.com/,+78516508444,False
Неудобно,магазин,"Темрюк, бул. Азовский, д. 2 стр. 2/1",tvorimir11@shneder.biz,http://ooo.edu/,+77855854735,False
Важный,другое,"Касимов, пр. Минский, д. 6 к. 1",saveli39@npo.edu,http://gk.info/,+79955600445,False
Призыв деньги,другое,"Орск, алл. Кошевого, д. 323 к. 52",vladislav1988@oao.net,http://www.oao.com/,+77607229217,False
Сходить,фастфуд,"Канск, ш. Байкальское, д. 352 стр. 92",feofan1992@nikitina.biz,http://rao.edu/,+77604101007,False
Невозможно неожиданный,магазин,"Беслан, наб. Ульянова, д. 5",ppopova@ip.ru,http://www.rao.info/,+79914577551,False
Угодный,другое,"Рыбинск, бул. Звездный, д. 9 стр. 27",marina_59@selezneva.com,https://sap.org/,+78359987526,False
Выраженный исследование,кафе,"Жуковский, наб. Короткая, д. 362",mitofan_1997@rao.com,https://oao.com/,+78465789170,False
Сохранять терапия,кафе,"Воркута, алл. Рыбацкая, д. 9/1 к. 78",kornilovmartjan@npo.net,https://oao.edu/,+79230810794,False
Дружно что,кафе,"Бреды, ш. Воровского, д. 1 к. 650",zinovevaagafja@glorija.com,http://ooo.net/,+79645389673,False
Горький,другое,"Борзя, пр. Краснознаменный, д. 635 стр. 8",rvinogradova@ooo.biz,http://www.fedoseev.org/,+78463341304,False
Около при,магазин,"Нижнекамск, наб. Таежная, д. 21 к. 38",elena_64@oao.biz,http://chernov.net/,+77132140734,False
Сынок плясать,фастфуд,"Каменномостский, ш. Энергетическое, д. 20",lnekrasov@evseev.edu,https://www.zao.info/,+77474871938,False
Коричневый роскошный,магазин,"Токма, ул. Чехова, д. 15",mefodi_1999@npo.ru,https://www.oao.edu/,+78095742787,False
Потрясти,магазин,"Гремячинск (Перм.), алл. Достоевского, д. 8/9",mitofan38@ip.info,http://ip.org/,+73841156394,False
Соответствие ведь,другое,"Казань, бул. Промышленный, д. 580 стр. 3/4",sokrat1970@nazarov.net,http://www.ao.com/,+79777004133,False
Командир,фастфуд,"Анадырь, ш. Солнечное, д. 4/7 к. 30",shcherbakovhariton@ip.ru,https://rao.edu/,+77635354612,False
